city,township,area_name,edit_date,change_date,old_address,new_address,edit_type,query_city,query_township,query_date_start,query_date_end,source_url,source_page,source_row_index,scraped_at,row_hash
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２４８號十四樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,2,2026-06-18T08:31:21.024940+00:00,eecaa9cc89340ec9ef6640450db7e2a4c710b5fe5237a0d01afc0916bfd99bcd
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２４８號十五樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,3,2026-06-18T08:31:21.026547+00:00,4a46c2eab23f815505567aeedbd60564c6396ab1e2e72a4f772744b6187a32c0
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２４８號十七樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,4,2026-06-18T08:31:21.028101+00:00,2ee284bf21e832a61c9ba15bc142ac44e0a4ee57f42dbf84f50ecbb402a19b67
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２５０巷１號三樓之２,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,5,2026-06-18T08:31:21.029924+00:00,608d93614c36208fb2893d8cac190f8364bc0e2398b307cc0c681493a2e56a26
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２５０巷１號六樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,6,2026-06-18T08:31:21.031649+00:00,1d6d823dc47a50b91f7b9f29f0ed889f7757db727d1eb96b8f90ec321b6db956
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２５０巷１號九樓,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,7,2026-06-18T08:31:21.033532+00:00,5b9c3fa5bc84e69dbaf3a5fdc9f9b32998ab85c594910e921bcfd44e6c140a48
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２５０巷１號十一樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,8,2026-06-18T08:31:21.035562+00:00,f0be5e3dc5aa4037da0e5cec1caa5498c38e0c038b351344c537a1f3e4d1a301
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２５０巷１號二樓之３,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,9,2026-06-18T08:31:21.037419+00:00,0b690801dbd4d984205e846693070a4e3e69d18394d6cda794176193ceb3fc72
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２５０巷１號五樓之１,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,10,2026-06-18T08:31:21.039624+00:00,38cb1e97687c061943a37089dd31f6a6bdfdfd9201746732503d04eb2d7ab2e0
臺北市,中正區,臺北市中正區,民國114年6月17日,民國114年6月17日,,永昌里016鄰詔安街２５０巷１號七樓之３,門牌初編,臺北市,中正區,114-06-01,114-08-31,https://www.ris.gov.tw/info-doorplate/app/doorplate/query,2,11,2026-06-18T08:31:21.042300+00:00,98b6fab2ad2da4b2bb589d5b26474b6cb89a34f5ec3ea7c7f45cd53ddffca041
